,Data,Godzina,ZAP
1000,20160211,17,22173.662999999997
1001,20160211,18,23365.088
1002,20160211,19,23351.188
1003,20160211,20,23164.787999999997
1004,20160211,21,22440.362999999998
1005,20160211,22,21064.938
1006,20160211,23,19398.663
1007,20160211,24,18148.838
1008,20160212,1,17060.313000000002
1009,20160212,2,16523.475
1010,20160212,3,16196.138
1011,20160212,4,16190.225
1012,20160212,5,16528.75
1013,20160212,6,17208.225
1014,20160212,7,19524.15
1015,20160212,8,21137.475
1016,20160212,9,22110.85
1017,20160212,10,22489.612999999998
1018,20160212,11,22273.85
1019,20160212,12,22521.662999999997
1020,20160212,13,22553.213
1021,20160212,14,22729.088
1022,20160212,15,22281.063
1023,20160212,16,21894.825
1024,20160212,17,21968.575
1025,20160212,18,23253.888
1026,20160212,19,23374.263
1027,20160212,20,23127.013
1028,20160212,21,22378.838
1029,20160212,22,20998.813
1030,20160212,23,19448.588
1031,20160212,24,18172.525
1032,20160213,1,17086.875
